OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,longitude,latitude
1,0.116357453,0.000782307,Newark Airport,1,EWR,-74.17152568,40.68948814
2,0.433469667,0.00486634,Jamaica Bay,2,Queens,-73.82248951,40.61079107
3,0.084341106,0.000314414,Allerton/Pelham Gardens,3,Bronx,-73.84494664,40.86574543
4,0.043566527,0.000111872,Alphabet City,4,Manhattan,-73.97772563,40.72413721
5,0.09214649,0.000497957,Arden Heights,5,Staten Island,-74.18753677,40.55066537
6,0.150490543,0.000606461,Arrochar/Fort Wadsworth,6,Staten Island,-74.07256368,40.59904686
7,0.107417171,0.000389788,Astoria,7,Queens,-73.92031477,40.76108187
8,0.027590691,2.66E-05,Astoria Park,8,Queens,-73.92312225,40.77862588
9,0.099784092,0.000338444,Auburndale,9,Queens,-73.78649085,40.75432771
10,0.099839479,0.000435824,Baisley Park,10,Queens,-73.78899813,40.67825239
11,0.079211039,0.000264521,Bath Beach,11,Brooklyn,-74.00751045,40.6040145
12,0.036661301,4.15E-05,Battery Park,12,Manhattan,-74.01572587,40.70249696
13,0.050281323,0.000149359,Battery Park City,13,Manhattan,-74.01589191,40.71153465
14,0.175213698,0.001381778,Bay Ridge,14,Brooklyn,-74.02852009,40.62359259
15,0.144336223,0.000925219,Bay Terrace/Fort Totten,15,Queens,-73.78525186,40.7848854
16,0.141291874,0.000871889,Bayside,16,Queens,-73.77473937,40.7612207
17,0.093522633,0.000322958,Bedford,17,Brooklyn,-73.95068607,40.69178023
18,0.06979955,0.00014885,Bedford Park,18,Bronx,-73.89126979,40.86867879
19,0.101824875,0.000546661,Bellerose,19,Queens,-73.7285819,40.73674328
20,0.051440192,0.000134513,Belmont,20,Bronx,-73.88619614,40.85774217
21,0.115973569,0.000380251,Bensonhurst East,21,Brooklyn,-73.98585701,40.60199502
22,0.126170229,0.000472063,Bensonhurst West,22,Brooklyn,-73.99507169,40.60968146
23,0.290556029,0.002195566,Bloomfield/Emerson Hill,23,Staten Island,-74.16048831,40.60751363
24,0.046999962,6.07E-05,Bloomingdale,24,Manhattan,-73.96552226,40.80191581
25,0.04714582,0.000124168,Boerum Hill,25,Brooklyn,-73.98647182,40.68571943
26,0.123547807,0.00053404,Borough Park,26,Brooklyn,-73.99012658,40.62860163
27,0.202508809,0.001340888,Breezy Point/Fort Tilden/Riis Beach,27,Queens,-73.90170547,40.55894644
28,0.097960782,0.000291204,Briarwood/Jamaica Hills,28,Queens,-73.80834608,40.71075353
29,0.071408313,0.000201674,Brighton Beach,29,Brooklyn,-73.96061959,40.5825144
